model,LibriSeVoc_inner,wavefake_inner,DECRO_english,DECRO_chinese,avg
LCNN---v00,99.97/0.76,99.95/0.74,99.96/0.80,99.84/1.64,99.93/0.98
LCNN---v01,99.97/0.81,99.98/0.56,99.97/0.86,99.90/1.23,99.95/0.87
LCNN---v02,99.97/0.80,99.98/0.65,99.94/0.92,99.95/1.05,99.96/0.85
LCNN---v03,99.93/1.17,99.97/0.75,99.93/1.25,99.93/1.11,99.94/1.07
LCNN---v04,99.96/0.83,99.99/0.47,99.97/0.79,99.90/1.22,99.95/0.83
LCNN---v06,99.95/1.12,99.98/0.59,99.96/0.90,99.78/1.92,99.92/1.13
LCNN---v07,99.94/1.15,99.96/0.87,99.97/0.76,99.86/1.65,99.93/1.11
LCNN---v08,99.96/0.93,99.99/0.55,99.96/0.78,99.91/1.33,99.95/0.90
LCNN---v09,99.99/0.50,99.97/0.58,99.93/1.14,99.86/1.67,99.94/0.97
LCNN---v10,99.96/0.96,99.98/0.61,99.98/0.78,99.86/1.51,99.94/0.96
RawNet2---v00,99.79/1.93,99.41/3.66,99.58/3.18,99.64/2.97,99.60/2.93
RawNet2---v01,99.66/2.77,95.54/11.87,98.54/6.11,99.17/4.53,98.23/6.32
RawNet2---v02,99.82/2.04,99.39/3.90,99.40/3.80,98.73/5.39,99.33/3.78
RawNet2---v03,99.69/2.80,96.82/9.48,99.17/4.41,99.61/2.83,98.82/4.88
RawNet2---v04,99.81/2.13,93.71/14.60,99.48/3.37,99.36/3.73,98.09/5.96
RawNet2---v06,99.85/1.93,99.46/3.70,99.05/4.80,99.38/3.85,99.44/3.57
RawNet2---v07,99.70/2.69,98.79/5.65,99.75/2.34,99.46/3.32,99.43/3.50
RawNet2---v08,99.79/2.18,99.29/4.13,99.13/4.52,99.33/3.67,99.39/3.63
RawNet2---v09,99.71/2.56,99.38/3.94,99.75/2.38,99.39/3.69,99.56/3.14
RawNet2---v10,52.21/48.40,97.54/8.61,99.84/1.86,99.08/4.47,87.17/15.84
RawGAT---v00,99.86/1.67,99.94/1.01,99.89/1.63,99.94/1.02,99.91/1.33
RawGAT---v01,99.90/1.57,99.94/1.08,99.91/1.31,99.76/2.28,99.88/1.56
RawGAT---v02,99.88/1.58,99.92/1.20,99.93/1.23,99.70/2.35,99.86/1.59
RawGAT---v03,99.93/1.12,99.92/1.26,99.85/1.60,99.80/2.06,99.87/1.51
RawGAT---v04,99.86/1.63,99.94/0.98,99.75/2.26,99.91/1.54,99.87/1.60
RawGAT---v06,99.95/1.10,99.90/1.49,99.91/1.23,99.91/1.33,99.92/1.29
RawGAT---v07,99.92/1.24,99.91/1.42,99.92/1.27,99.96/0.83,99.93/1.19
RawGAT---v08,99.84/1.82,99.89/1.45,99.92/1.32,99.97/0.86,99.90/1.36
RawGAT---v09,99.88/1.59,99.90/1.39,99.85/1.58,99.78/2.29,99.85/1.71
RawGAT---v10,99.92/1.18,,99.94/1.11,99.94/1.06,99.93/1.12
Wave2Vec2---v00,75.51/31.33,58.52/43.94,99.98/0.62,62.09/41.66,74.02/29.39
Wave2Vec2---v01,61.95/42.08,52.58/48.11,99.96/0.84,59.48/43.90,68.49/33.73
Wave2Vec2---v02,54.54/45.18,51.42/48.84,52.11/49.10,99.94/0.67,64.50/35.95
Wave2Vec2---v03,63.44/39.66,54.19/46.66,93.23/14.26,54.45/46.92,66.33/36.87
Wave2Vec2---v04,63.42/40.52,53.53/47.41,83.93/23.80,99.53/1.37,75.10/28.27
Wave2Vec2---v06,62.68/40.42,,99.95/0.84,53.20/47.69,71.94/29.65
Wave2Vec2---v07,66.36/37.55,,99.14/2.79,52.97/47.31,72.82/29.22
Wave2Vec2---v08,67.51/36.88,,99.99/0.43,58.16/44.46,75.22/27.26
Wave2Vec2---v09,55.31/46.22,,60.29/42.78,59.74/41.75,58.45/43.59
Wave2Vec2---v10,74.61/30.95,,57.74/44.21,65.85/38.37,66.07/37.84
Wave2Vec2-old1---v00,100.00/0.11,99.98/0.52,99.99/0.45,99.99/0.37,99.99/0.36
Wave2Vec2-old1---v01,100.00/0.06,99.99/0.41,99.99/0.44,99.97/0.47,99.99/0.34
Wave2Vec2-old1---v02,100.00/0.06,99.99/0.42,99.99/0.41,99.97/0.54,99.99/0.36
Wave2Vec2-old1---v03,100.00/0.09,99.99/0.38,99.99/0.41,99.98/0.31,99.99/0.30
Wave2Vec2-old1---v04,100.00/0.05,99.99/0.35,99.99/0.45,99.98/0.38,99.99/0.31
Wave2Vec2-old1---v06,99.96/0.14,99.99/0.42,99.99/0.48,99.98/0.47,99.98/0.38
Wave2Vec2-old1---v07,100.00/0.09,99.99/0.44,99.99/0.30,99.94/0.43,99.98/0.32
Wave2Vec2-old1---v08,100.00/0.08,99.99/0.53,99.98/0.68,99.96/0.51,99.98/0.45
Wave2Vec2-old1---v09,100.00/0.10,99.99/0.36,99.98/0.60,99.99/0.39,99.99/0.36
Wave2Vec2-old1---v10,100.00/0.09,99.99/0.52,99.98/0.49,99.99/0.39,99.99/0.37
WaveLM---v00,100.00/0.10,52.06/48.31,99.99/0.37,100.00/0.25,88.01/12.26
WaveLM---v01,100.00/0.15,51.76/49.08,99.99/0.31,60.67/42.97,78.11/23.13
WaveLM---v02,100.00/0.19,70.06/35.12,100.00/0.21,100.00/0.26,92.51/8.95
WaveLM---v03,65.73/38.33,100.00/0.23,99.99/0.29,100.00/0.11,91.43/9.74
WaveLM---v04,100.00/0.30,53.10/47.92,100.00/0.34,100.00/0.24,88.27/12.20
WaveLM---v06,100.00/0.08,51.90/48.02,99.99/0.31,99.99/0.23,87.97/12.16
WaveLM---v07,100.00/0.16,100.00/0.16,99.99/0.31,100.00/0.25,100.00/0.22
WaveLM---v08,100.00/0.08,53.62/47.11,99.97/0.48,99.99/0.39,88.40/12.01
WaveLM---v09,100.00/0.19,50.88/49.29,99.96/0.43,99.99/0.34,87.71/12.56
WaveLM---v10,100.00/0.11,52.64/48.00,99.99/0.23,99.99/0.33,88.16/12.17
WaveLM-old1---v00,100.00/0.01,100.00/0.29,99.98/0.63,99.99/0.33,99.99/0.31
WaveLM-old1---v01,100.00/0.01,100.00/0.20,99.98/0.74,99.98/0.53,99.99/0.37
WaveLM-old1---v02,100.00/0.05,100.00/0.33,99.99/0.33,99.99/0.43,100.00/0.28
WaveLM-old1---v03,100.00/0.04,100.00/0.26,99.97/0.74,99.98/0.52,99.99/0.39
WaveLM-old1---v04,100.00/0.03,100.00/0.32,99.96/0.90,99.98/0.34,99.98/0.40
WaveLM-old1---v06,100.00/0.01,100.00/0.29,99.98/0.53,99.98/0.41,99.99/0.31
WaveLM-old1---v07,100.00/0.03,100.00/0.22,99.99/0.25,99.98/0.37,99.99/0.22
WaveLM-old1---v08,100.00/0.00,100.00/0.26,99.97/0.69,99.99/0.44,99.99/0.35
WaveLM-old1---v09,100.00/0.03,100.00/0.24,99.98/0.57,99.99/0.36,99.99/0.30
WaveLM-old1---v10,100.00/0.04,99.99/0.25,100.00/0.18,100.00/0.31,100.00/0.19
LibriSeVoc---v00,99.91/1.44,99.06/4.97,99.82/1.85,99.63/2.82,99.61/2.77
LibriSeVoc---v01,99.85/1.93,99.38/3.96,99.46/3.74,98.45/6.48,99.28/4.03
LibriSeVoc---v02,99.91/1.51,99.62/2.90,99.58/3.03,98.55/6.37,99.42/3.45
LibriSeVoc---v03,99.89/1.60,99.45/3.77,99.37/3.80,99.67/2.68,99.59/2.96
LibriSeVoc---v04,99.72/2.80,99.34/4.00,99.64/2.71,99.48/3.11,99.54/3.16
LibriSeVoc---v06,99.81/1.91,99.20/4.35,99.64/2.96,99.39/3.65,99.51/3.22
LibriSeVoc---v07,95.77/11.93,99.38/4.03,99.30/4.15,99.56/3.26,98.50/5.84
LibriSeVoc---v08,99.93/1.29,99.70/2.58,97.90/7.16,97.06/9.22,98.65/5.06
LibriSeVoc---v09,99.75/2.48,99.43/3.85,99.75/2.41,99.61/2.96,99.64/2.92
LibriSeVoc---v10,99.89/1.72,99.09/4.84,99.76/2.34,99.62/3.03,99.59/2.98
AudioClip---v00,99.45/3.71,99.94/1.01,100.00/0.23,99.51/3.00,99.73/1.99
AudioClip---v01,99.26/4.43,99.89/1.39,99.96/0.86,99.54/3.26,99.66/2.49
AudioClip---v02,98.34/6.68,99.96/0.91,99.74/2.11,99.65/2.72,99.42/3.10
AudioClip---v03,99.64/2.84,99.92/1.38,99.99/0.29,99.62/2.93,99.79/1.86
AudioClip---v04,99.69/2.52,99.92/1.23,99.98/0.56,99.57/3.29,99.79/1.90
AudioClip---v06,99.65/2.95,99.90/1.41,99.96/0.70,99.62/2.58,99.78/1.91
AudioClip---v07,99.23/4.20,99.89/1.45,99.98/0.57,99.73/2.18,99.71/2.10
AudioClip---v08,99.25/4.42,99.92/1.29,99.99/0.45,99.79/2.05,99.74/2.05
AudioClip---v09,99.20/4.62,99.90/1.28,99.19/3.10,99.83/1.82,99.53/2.70
AudioClip---v10,99.45/3.43,99.91/1.52,100.00/0.23,98.96/4.63,99.58/2.45
Wav2Clip---v00,99.92/1.21,99.99/0.42,99.98/0.62,99.33/3.90,99.80/1.54
Wav2Clip---v01,99.93/1.07,100.00/0.28,99.98/0.78,99.28/4.04,99.80/1.54
Wav2Clip---v02,99.94/1.02,100.00/0.24,99.98/0.57,98.93/4.78,99.71/1.65
Wav2Clip---v03,99.83/1.63,99.99/0.39,99.97/0.70,99.37/3.29,99.79/1.50
Wav2Clip---v04,99.29/4.08,100.00/0.26,99.99/0.44,99.04/4.38,99.58/2.29
Wav2Clip---v06,99.94/1.08,100.00/0.17,99.99/0.51,99.47/3.55,99.85/1.33
Wav2Clip---v07,99.92/1.33,99.99/0.42,99.97/0.88,99.02/4.31,99.72/1.74
Wav2Clip---v08,99.59/2.69,100.00/0.26,99.99/0.44,99.21/4.39,99.70/1.94
Wav2Clip---v09,99.96/0.87,100.00/0.27,99.98/0.66,99.16/4.47,99.77/1.57
Wav2Clip---v10,99.95/0.98,99.99/0.30,99.95/1.15,99.25/3.70,99.78/1.53
AASIST---v00,99.92/1.34,99.15/4.77,99.93/1.21,99.48/3.58,99.62/2.73
AASIST---v01,99.92/1.22,99.96/0.84,99.92/1.25,99.82/2.01,99.90/1.33
AASIST---v02,99.89/1.53,99.93/1.28,99.92/1.25,98.39/6.53,99.54/2.65
AASIST---v03,99.92/1.29,99.91/1.07,99.93/1.28,99.52/3.32,99.82/1.74
AASIST---v04,99.95/1.08,99.95/0.94,99.94/1.15,99.31/4.02,99.79/1.80
AASIST---v06,99.91/1.40,99.90/1.45,99.83/1.79,99.83/1.86,99.87/1.63
AASIST---v07,99.89/1.55,99.88/1.64,99.86/1.72,99.71/2.70,99.84/1.90
AASIST---v08,99.95/1.06,99.90/1.50,99.94/1.09,99.88/1.56,99.92/1.30
AASIST---v09,99.89/1.44,99.92/1.35,99.89/1.43,99.67/2.65,99.84/1.72
AASIST---v10,99.90/1.36,99.94/1.16,99.92/1.34,99.95/0.95,99.93/1.20
SFATNet---v00,98.29/6.25,99.91/1.23,99.90/1.63,97.77/7.60,98.97/4.17
SFATNet---v01,98.07/7.02,99.93/1.27,99.88/1.67,97.69/7.84,98.89/4.45
SFATNet---v02,98.27/6.05,99.89/1.69,99.88/1.70,98.01/7.37,99.01/4.20
SFATNet---v03,98.31/5.86,99.93/1.16,99.87/1.87,96.70/9.48,98.70/4.59
SFATNet---v04,98.58/5.20,99.77/2.34,99.87/1.62,97.33/8.66,98.89/4.46
SFATNet---v06,98.54/5.83,99.91/1.32,99.86/1.72,97.47/8.56,98.95/4.36
SFATNet---v07,98.28/5.79,99.89/1.52,99.87/1.64,97.40/8.61,98.86/4.39
SFATNet---v08,98.51/5.50,99.89/1.46,99.82/1.77,98.02/7.06,99.06/3.95
SFATNet---v09,98.36/5.91,99.86/1.71,99.86/1.81,97.15/8.58,98.81/4.50
SFATNet---v10,98.07/6.08,99.89/1.52,99.74/2.12,97.44/7.92,98.79/4.41
ASDG---v00,99.97/0.81,100.00/0.43,99.88/1.31,99.75/1.98,99.90/1.13
ASDG---v01,99.90/0.83,99.91/1.03,99.96/0.86,99.54/2.82,99.83/1.38
ASDG---v02,99.94/1.03,99.88/0.84,99.92/1.07,99.54/3.60,99.82/1.64
ASDG---v03,99.91/1.17,100.00/0.77,99.90/1.03,99.92/1.23,99.93/1.05
ASDG---v04,99.95/0.72,99.94/0.74,99.95/0.84,99.78/1.38,99.91/0.92
ASDG---v06,99.89/2.35,99.91/0.71,99.92/1.37,99.85/1.63,99.89/1.51
ASDG---v07,99.92/0.44,99.98/0.61,99.86/1.03,99.94/0.90,99.93/0.75
ASDG---v08,99.96/0.80,99.88/0.76,99.94/1.23,99.87/1.65,99.91/1.11
ASDG---v09,99.93/1.14,99.99/0.84,99.90/1.37,99.92/1.16,99.94/1.13
ASDG---v10,99.95/2.95,99.94/0.97,99.94/0.88,99.92/1.27,99.94/1.52
Ours/ResNet---v00,99.99/0.34,100.00/0.07,99.99/0.63,99.99/0.44,99.99/0.37
Ours/ResNet---v01,100.00/0.27,100.00/0.06,99.99/0.47,100.00/0.28,100.00/0.27
Ours/ResNet---v02,99.97/0.61,100.00/0.06,99.99/0.40,99.98/0.42,99.98/0.37
Ours/ResNet---v03,99.97/0.45,100.00/0.04,99.99/0.50,99.98/0.56,99.98/0.39
Ours/ResNet---v04,99.98/0.49,100.00/0.01,99.99/0.47,99.99/0.42,99.99/0.35
Ours/ResNet---v05,99.99/0.44,100.00/0.03,99.99/0.58,99.97/0.59,99.99/0.41
Ours/ResNet---v06,99.99/0.49,100.00/0.03,99.99/0.52,99.99/0.50,99.99/0.39
Ours/ResNet---v07,99.98/0.45,100.00/0.06,99.99/0.47,99.98/0.62,99.99/0.40
Ours/ResNet---v08,99.99/0.49,100.00/0.13,99.99/0.36,99.99/0.41,99.99/0.35
Ours/ResNet---v09,99.98/0.53,100.00/0.06,99.99/0.42,99.99/0.43,99.99/0.36
Ours/ResNet---v10,99.96/0.61,100.00/0.16,99.99/0.41,99.99/0.37,99.99/0.39
Ours/ResNet---v11,99.98/0.48,,100.00/0.21,99.99/0.40,99.99/0.36
Ours/ResNet---v12,,,100.00/0.21,99.99/0.42,99.99/0.32
Ours/ResNet---v13,,,100.00/0.22,,100.00/0.22
Ours/ResNet---v14,,,100.00/0.21,,100.00/0.21
Ours/ResNet---v15,,,99.99/0.27,,99.99/0.27
Ours/ResNet---v16,,,100.00/0.16,,100.00/0.16
Ours/ResNet---v17,,,100.00/0.23,,100.00/0.23
Ours/ResNet---v18,,,100.00/0.16,,100.00/0.16
Ours/ResNet---v19,,,100.00/0.25,,100.00/0.25
